Event_Num,Date,LAT,LON
172000291,2017-07-19,38.44771679,-122.71221129999999
172020034,2017-07-21,38.46315826,-122.66747439999999
172020287,2017-07-21,38.439145399999994,-122.7188437
171830244,2017-07-02,38.43701961,-122.7158571
171850405,2017-07-04,38.44020625,-122.7227462
171810414,2017-07-01,38.44757785,-122.66612079999999
171820001,2017-07-01,38.44036347,-122.70283090000001
171820002,2017-07-01,38.45255814,-122.76447749999998
171820003,2017-07-01,38.42325801,-122.7425506
171820005,2017-07-01,38.40186649,-122.71348429999999
171820006,2017-07-01,38.42173334,-122.7437504
171820007,2017-07-01,38.44520683,-122.68781979999999
171820008,2017-07-01,38.4642155,-122.7302291
171820009,2017-07-01,38.42757228,-122.7073644
171820010,2017-07-01,38.44038228,-122.7161508
171820011,2017-07-01,38.460974,-122.72521499999999
171820012,2017-07-01,38.43507093,-122.70536129999999
171820013,2017-07-01,38.4410492,-122.74599740000002
171820014,2017-07-01,38.41429399,-122.71748640000001
171820015,2017-07-01,38.43563918,-122.76455659999999
171820017,2017-07-01,38.4179043,-122.74303529999999
171820018,2017-07-01,38.42628961,-122.66405870000001
171820020,2017-07-01,38.44572374,-122.72041010000001
171820021,2017-07-01,38.45873641,-122.67438670000001
171820022,2017-07-01,38.44072571,-122.71343290000002
171820024,2017-07-01,38.43379484,-122.74240049999999
171820025,2017-07-01,38.44550263,-122.7123095
171820026,2017-07-01,38.43507093,-122.70536129999999
171820029,2017-07-01,38.44674515,-122.6822571
171820030,2017-07-01,38.46720043,-122.72433079999999
171820032,2017-07-01,38.46331595,-122.6749892
171820033,2017-07-01,38.45998808,-122.72469280000001
171820035,2017-07-01,38.46172539,-122.7696703
171820036,2017-07-01,38.46714931,-122.7627263
171820037,2017-07-01,38.45029799,-122.68860159999998
171820038,2017-07-01,38.45873641,-122.67438670000001
171820040,2017-07-01,38.4379375,-122.7615328
171820041,2017-07-01,38.4695314,-122.7627481
171820042,2017-07-01,38.44757785,-122.66612079999999
171820043,2017-07-01,38.44285521,-122.7017068
171820044,2017-07-01,38.4506374,-122.6973054
171820045,2017-07-01,38.45088176,-122.76901969999999
171820046,2017-07-01,38.45259224,-122.74625209999999
171820047,2017-07-01,38.455374400000004,-122.69719850000001
171820048,2017-07-01,38.43516241,-122.68761950000001
171820049,2017-07-01,38.41811952,-122.74019720000001
171820050,2017-07-01,38.42841329,-122.7453042
171820051,2017-07-01,38.44023055,-122.7145525
171820052,2017-07-01,38.41328316,-122.70426670000002
171820053,2017-07-01,38.43516241,-122.68761950000001
171820054,2017-07-01,38.44773171,-122.7597672
171820055,2017-07-01,38.44913658,-122.76268540000001
171820056,2017-07-01,38.44757785,-122.66612079999999
171820057,2017-07-01,38.44023055,-122.7145525
171820058,2017-07-01,38.43294769,-122.7445656
171820059,2017-07-01,38.43903444,-122.71295049999999
171820062,2017-07-01,38.46505778,-122.71938200000001
171820063,2017-07-01,38.42292033,-122.5827163
171820064,2017-07-01,38.47874725,-122.72286310000001
171820066,2017-07-01,38.40971025,-122.7134884
171820069,2017-07-01,38.44389693,-122.708675
171820070,2017-07-01,38.42135934,-122.7147642
171820071,2017-07-01,38.43516241,-122.68761950000001
171820072,2017-07-01,38.46919178,-122.72937320000001
171820073,2017-07-01,38.455409499999995,-122.72817260000001
171820074,2017-07-01,38.46821647,-122.7393362
171820075,2017-07-01,38.46482899,-122.65142639999999
171820077,2017-07-01,38.45554777,-122.67789259999999
171820078,2017-07-01,38.44679807,-122.72251200000001
171820079,2017-07-01,38.43525419,-122.6859145
171820080,2017-07-01,38.40172352,-122.71088229999998
171820081,2017-07-01,38.45991177,-122.7284087
171820082,2017-07-01,38.44121202,-122.7123828
171820083,2017-07-01,38.44341658,-122.6810928
171820084,2017-07-01,38.44521652,-122.74903090000001
171820085,2017-07-01,38.47080389,-122.7169376
171820086,2017-07-01,38.42197193,-122.7103328
171820087,2017-07-01,38.44036347,-122.70283090000001
171820088,2017-07-01,38.46233298,-122.7417378
171820091,2017-07-01,38.46096956,-122.7549865
171820093,2017-07-01,38.44261475,-122.6807874
171820094,2017-07-01,38.46668037,-122.7658226
171820095,2017-07-01,38.46421777,-122.72841559999999
171820096,2017-07-01,38.43024644,-122.7269034
171820097,2017-07-01,38.44036347,-122.70283090000001
171820098,2017-07-01,38.45993819,-122.7267705
171820099,2017-07-01,38.432156,-122.73776200000002
171820100,2017-07-01,38.47297747,-122.72614070000002
171820101,2017-07-01,38.45014328,-122.7012509
171820102,2017-07-01,38.42938384,-122.7621621
171820103,2017-07-01,38.43947287,-122.72536459999999
171820104,2017-07-01,38.44375266,-122.7655215
171820105,2017-07-01,38.42148789,-122.7528801
171820106,2017-07-01,38.45993819,-122.7267705
171820108,2017-07-01,38.4590067,-122.6704272
171820109,2017-07-01,38.46912826,-122.6358065
171820111,2017-07-01,38.44036347,-122.70283090000001
171820112,2017-07-01,38.44036347,-122.70283090000001
171820113,2017-07-01,38.45082185,-122.6954202
171820114,2017-07-01,38.45465942,-122.7130178
171820115,2017-07-01,38.43781984,-122.59401059999999
171820116,2017-07-01,38.43940599,-122.7139777
171820118,2017-07-01,38.41425591,-122.72757630000001
171820119,2017-07-01,38.47930351,-122.7692015
171820121,2017-07-01,38.44520683,-122.68781979999999
171820122,2017-07-01,38.45991177,-122.7284087
171820123,2017-07-01,38.47344083,-122.7271309
171820124,2017-07-01,38.42083759,-122.71664879999999
171820126,2017-07-01,38.47919384,-122.75980449999999
171820127,2017-07-01,38.44441439,-122.68544709999999
171820128,2017-07-01,38.45490251,-122.7696699
171820129,2017-07-01,38.44036347,-122.70283090000001
171820130,2017-07-01,38.43535628,-122.7120801
171820131,2017-07-01,38.43569881,-122.7057192
171820132,2017-07-01,38.427921999999995,-122.715473
171820134,2017-07-01,38.42902192,-122.76938090000002
171820136,2017-07-01,38.46383244,-122.6649856
171820137,2017-07-01,38.44046206,-122.7140115
171820138,2017-07-01,38.45437446,-122.7321686
171820139,2017-07-01,38.43776289,-122.6873821
171820140,2017-07-01,38.42851153,-122.745236
171820141,2017-07-01,38.44173424,-122.68725659999998
171820142,2017-07-01,38.43483764,-122.7711445
171820144,2017-07-01,38.48175184,-122.658198
171820145,2017-07-01,38.45884356,-122.7326085
171820146,2017-07-01,38.43402241,-122.68804750000001
171820147,2017-07-01,38.38717696,-122.7230377
171820148,2017-07-01,38.44972,-122.68848009999999
171820149,2017-07-01,38.45508095,-122.75335459999998
171820150,2017-07-01,38.45258756,-122.7513351
171820151,2017-07-01,38.44173424,-122.68725659999998
171820152,2017-07-01,38.47037713,-122.7229361
171820155,2017-07-01,38.44307872,-122.66281709999998
171820156,2017-07-01,38.45878593,-122.7186729
171820157,2017-07-01,38.44036347,-122.70283090000001
171820158,2017-07-01,38.44403502,-122.70426709999998
171820162,2017-07-01,38.46545044,-122.7224179
171820163,2017-07-01,38.45991177,-122.7284087
171820164,2017-07-01,38.46505778,-122.71938200000001
171820165,2017-07-01,38.45884356,-122.7326085
171820166,2017-07-01,38.44972,-122.68848009999999
171820167,2017-07-01,38.48216709,-122.6723959
171820168,2017-07-01,38.46421777,-122.72841559999999
171820170,2017-07-01,38.44036347,-122.70283090000001
171820171,2017-07-01,38.42823724,-122.6639304
171820172,2017-07-01,38.4453395,-122.7417051
171820173,2017-07-01,38.45112279999999,-122.69179640000002
171820174,2017-07-01,38.44592197,-122.7283248
171820177,2017-07-01,38.45025402,-122.72648290000001
171820178,2017-07-01,38.45576138,-122.7264186
171820179,2017-07-01,38.45803531,-122.6729237
171820180,2017-07-01,38.45490251,-122.7696699
171820181,2017-07-01,38.46909751,-122.7393386
171820182,2017-07-01,38.41333341,-122.7171869
171820183,2017-07-01,38.45288227,-122.68142069999999
171820184,2017-07-01,38.44583528,-122.7245675
171820185,2017-07-01,38.46623454,-122.73023130000001
171820186,2017-07-01,38.43112552,-122.69424199999999
171820187,2017-07-01,38.45997829,-122.7406116
171820188,2017-07-01,38.442735299999995,-122.7066597
171820189,2017-07-01,38.42866101,-122.74153390000002
171820190,2017-07-01,38.46675429,-122.6740923
171820192,2017-07-01,38.42386438,-122.7081955
171820193,2017-07-01,38.44521652,-122.74903090000001
171820194,2017-07-01,38.40172352,-122.71088229999998
171820197,2017-07-01,38.42441393,-122.7066315
171820198,2017-07-01,38.46540198,-122.7163939
171820199,2017-07-01,38.47173676,-122.72091370000001
171820200,2017-07-01,38.47235779,-122.69418229999998
171820201,2017-07-01,38.43082934,-122.69408510000001
171820202,2017-07-01,38.46383244,-122.6649856
171820205,2017-07-01,38.44564739,-122.7177125
171820206,2017-07-01,38.40907613,-122.7353186
171820207,2017-07-01,38.45584519,-122.6791175
171820208,2017-07-01,38.47739826,-122.7154183
171820209,2017-07-01,38.45382685,-122.7038288
171820211,2017-07-01,38.46044032,-122.7100118
171820212,2017-07-01,38.44121202,-122.7123828
171820213,2017-07-01,38.44389693,-122.708675
171820215,2017-07-01,38.4384119,-122.6968065
171820216,2017-07-01,38.42644233,-122.7466994
171820217,2017-07-01,38.4323645,-122.704449
171820218,2017-07-01,38.425103,-122.70460220000001
171820219,2017-07-01,38.458931400000004,-122.7238781
171820220,2017-07-01,38.479745,-122.720133
171820221,2017-07-01,38.45259224,-122.74625209999999
171820222,2017-07-01,38.468611700000004,-122.7627307
171820223,2017-07-01,38.44979643,-122.66856159999999
171820224,2017-07-01,38.45045002,-122.75132109999998
171820225,2017-07-01,38.46383244,-122.6649856
171820226,2017-07-01,38.44221032,-122.6961001
171820227,2017-07-01,38.4179043,-122.74303529999999
171820228,2017-07-01,38.45257267,-122.7595733
171820229,2017-07-01,38.43758856,-122.70864420000001
171820230,2017-07-01,38.48047472,-122.7561182
171820231,2017-07-01,38.43217965,-122.67313600000001
171820232,2017-07-01,38.45803531,-122.6729237
171820238,2017-07-01,38.43769345,-122.71779679999999
171820240,2017-07-01,38.45039552,-122.69388980000001
171820241,2017-07-01,38.47376852,-122.65868710000001
171820242,2017-07-01,38.46317975,-122.7446453
171820243,2017-07-01,38.47970235,-122.73446640000002
171820244,2017-07-01,38.47067935,-122.7136003
171820245,2017-07-01,38.45314275,-122.7372511
171820246,2017-07-01,38.43516241,-122.68761950000001
171820247,2017-07-01,38.44462863,-122.7170749
171820248,2017-07-01,38.403502200000005,-122.7414703
171820249,2017-07-01,38.46505778,-122.71938200000001
171820250,2017-07-01,38.40351116,-122.76878070000001
171820251,2017-07-01,38.48047472,-122.7561182
171820252,2017-07-01,38.44539064,-122.7080878
171820253,2017-07-01,38.43112552,-122.69424199999999
171820254,2017-07-01,38.43164326,-122.7053655
171820255,2017-07-01,38.4280234,-122.7250038
171820256,2017-07-01,38.46840455,-122.70757859999999
171820258,2017-07-01,38.44053199,-122.70968880000001
171820259,2017-07-01,38.42685471,-122.7413163
171820260,2017-07-01,38.44972,-122.68848009999999
171820261,2017-07-01,38.43379484,-122.74240049999999
171820262,2017-07-01,38.44751446,-122.7696459
171820263,2017-07-01,38.38706459,-122.71778429999999
171820264,2017-07-01,38.44038228,-122.7161508
171820265,2017-07-01,38.45991177,-122.7284087
171820266,2017-07-01,38.44572374,-122.72041010000001
171820267,2017-07-01,38.45597786,-122.73711570000002
171820268,2017-07-01,38.4076149,-122.7294369
171820269,2017-07-01,38.43294769,-122.7445656
171820270,2017-07-01,38.47850614,-122.6675996
171820271,2017-07-01,38.45884356,-122.7326085
171820272,2017-07-01,38.46361627,-122.7417138
171820275,2017-07-01,38.46101047,-122.71060890000001
171820276,2017-07-01,38.44539064,-122.7080878
171820277,2017-07-01,38.43292376,-122.7225394
171820278,2017-07-01,38.42197193,-122.7103328
171820279,2017-07-01,38.4222799,-122.7185301
171820280,2017-07-01,38.42555317,-122.7033124
171820282,2017-07-01,38.46237035,-122.760878
171820283,2017-07-01,38.42674234,-122.7430645
171820284,2017-07-01,38.43466572,-122.71957340000002
171820285,2017-07-01,38.45996937,-122.73166409999999
171820287,2017-07-01,38.43477608,-122.736604
171820288,2017-07-01,38.45496838,-122.6721729
171820289,2017-07-01,38.41429399,-122.71748640000001
171820290,2017-07-01,38.47850614,-122.6675996
171820291,2017-07-01,38.42568262,-122.7319736
171820292,2017-07-01,38.45112279999999,-122.69179640000002
171820293,2017-07-01,38.481792999999996,-122.757925
171820294,2017-07-01,38.47970235,-122.73446640000002
171820296,2017-07-01,38.47473016,-122.6717504
171820297,2017-07-01,38.46383244,-122.6649856
171820299,2017-07-01,38.43769194,-122.68804469999999
171820300,2017-07-01,38.471044,-122.66767
171820301,2017-07-01,38.43541921,-122.7277581
171820302,2017-07-01,38.43665196,-122.71227809999999
171820303,2017-07-01,38.42609768,-122.7650065
171820304,2017-07-01,38.47383839,-122.6606232
171820305,2017-07-01,38.44502941,-122.6703106
171820306,2017-07-01,38.44076213,-122.7215076
171820307,2017-07-01,38.47247575,-122.7306991
171820308,2017-07-01,38.47929434,-122.6577925
171820309,2017-07-01,38.45996937,-122.73166409999999
171820310,2017-07-01,38.43059702,-122.7253189
171820311,2017-07-01,38.42685471,-122.7413163
171820312,2017-07-01,38.41986673,-122.72061799999999
171820314,2017-07-01,38.45307557,-122.70612479999998
171820315,2017-07-01,38.44668339,-122.7177146
171820316,2017-07-01,38.45154944,-122.66967520000001
171820317,2017-07-01,38.47319217,-122.6673597
171820318,2017-07-01,38.44539064,-122.7080878
171820319,2017-07-01,38.43259931,-122.7089588
171820321,2017-07-01,38.47068312,-122.6467055
171820322,2017-07-01,38.43456184,-122.6997523
171820323,2017-07-01,38.42978491,-122.72890819999999
171820324,2017-07-01,38.43271141,-122.7515848
171820326,2017-07-01,38.4299094,-122.7417259
171820328,2017-07-01,38.44447398,-122.7305423
171820329,2017-07-01,38.43560925,-122.76161119999999
171820330,2017-07-01,38.43009068,-122.76065859999999
171820331,2017-07-01,38.44521662,-122.7444692
171820332,2017-07-01,38.44428364,-122.6912889
171820333,2017-07-01,38.450788,-122.6975206
171820334,2017-07-01,38.46420906,-122.71540459999999
171820336,2017-07-01,38.46886272,-122.7547568
171820337,2017-07-01,38.43112552,-122.69424199999999
171820338,2017-07-01,38.45751678,-122.71831599999999
171820340,2017-07-01,38.44914712,-122.6736523
171820341,2017-07-01,38.4649157,-122.6533696
171820342,2017-07-01,38.44167409,-122.73524099999999
171820343,2017-07-01,38.48652423,-122.69885819999999
171820344,2017-07-01,38.43343219,-122.72632890000001
171820346,2017-07-01,38.43817831,-122.7167402
171820347,2017-07-01,38.45873641,-122.67438670000001
171820348,2017-07-01,38.43059702,-122.7253189
171820349,2017-07-01,38.47792336,-122.669486
171820350,2017-07-01,38.45363033,-122.72840559999999
171820351,2017-07-01,38.44036347,-122.70283090000001
171820352,2017-07-01,38.43054545,-122.7110831
171820354,2017-07-01,38.44391336,-122.71847890000001
171820355,2017-07-01,38.46172539,-122.7696703
171820356,2017-07-01,38.461123799999996,-122.76413020000001
171820357,2017-07-01,38.40654083,-122.71198590000002
171820359,2017-07-01,38.44421942,-122.7265969
171820360,2017-07-01,38.44774196,-122.7607895
171820361,2017-07-01,38.46172539,-122.7696703
171820362,2017-07-01,38.45873641,-122.67438670000001
171820363,2017-07-01,38.43412344,-122.72660729999998
171830001,2017-07-02,38.48345204,-122.6912483
171830002,2017-07-02,38.45730241,-122.6712994
171830003,2017-07-02,38.45993819,-122.7267705
171830004,2017-07-02,38.44462863,-122.7170749
171830005,2017-07-02,38.4339454,-122.69939879999998
171830006,2017-07-02,38.42546906,-122.670321
171830007,2017-07-02,38.44354527,-122.7229152
171830008,2017-07-02,38.43657615,-122.72009369999999
171830009,2017-07-02,38.46713037,-122.76974709999999
171830011,2017-07-02,38.43879551,-122.7084638
171830012,2017-07-02,38.44572374,-122.72041010000001
171830013,2017-07-02,38.43466572,-122.71957340000002
171830014,2017-07-02,38.47970235,-122.73446640000002
171830015,2017-07-02,38.47416706,-122.7683165
171830016,2017-07-02,38.45921619,-122.7373216
171830017,2017-07-02,38.439145399999994,-122.7188437
171830019,2017-07-02,38.42461893,-122.7175544
171830020,2017-07-02,38.45796583,-122.70809059999999
171830021,2017-07-02,38.43932824,-122.72045349999999
171830022,2017-07-02,38.4734039,-122.76805870000001
171830023,2017-07-02,38.4346687,-122.71825890000001
171830024,2017-07-02,38.44502941,-122.6703106
171830025,2017-07-02,38.46205641,-122.71894850000001
171830027,2017-07-02,38.46808497,-122.76084660000001
171830028,2017-07-02,38.45830449,-122.67546259999999
171830029,2017-07-02,38.44507274,-122.6856783
171830031,2017-07-02,38.4706443,-122.72981340000001
171830033,2017-07-02,38.42685471,-122.7413163
171830035,2017-07-02,38.4452399,-122.75130279999999
171830036,2017-07-02,38.46311909,-122.7182737
171830037,2017-07-02,38.46499934,-122.73263840000001
171830038,2017-07-02,38.41902829,-122.70436059999999
171830039,2017-07-02,38.43292376,-122.7225394
171830040,2017-07-02,38.4452399,-122.75130279999999
171830041,2017-07-02,38.44530267,-122.7426611
171830042,2017-07-02,38.45447584,-122.68080900000001
171830043,2017-07-02,38.46101047,-122.71060890000001
171830045,2017-07-02,38.46296651,-122.7164774
171830046,2017-07-02,38.46499934,-122.73263840000001
171830047,2017-07-02,38.44023055,-122.7145525
171830048,2017-07-02,38.41859032,-122.70370890000001
171830050,2017-07-02,38.46505778,-122.71938200000001
171830052,2017-07-02,38.434241,-122.71183899999998
171830053,2017-07-02,38.46886086,-122.63923229999999
171830054,2017-07-02,38.44356872,-122.70722140000001
171830055,2017-07-02,38.4414286,-122.71379180000001
171830056,2017-07-02,38.45087261,-122.7567935
171830057,2017-07-02,38.43294769,-122.7445656
171830060,2017-07-02,38.4452399,-122.75130279999999
171830061,2017-07-02,38.44449858,-122.710939
171830063,2017-07-02,38.43292376,-122.7225394
171830064,2017-07-02,38.45508095,-122.75335459999998
171830065,2017-07-02,38.45956577,-122.7190646
171830066,2017-07-02,38.460974,-122.72521499999999
171830067,2017-07-02,38.47823005,-122.7508268
171830068,2017-07-02,38.45651115,-122.7362721
171830069,2017-07-02,38.44302503,-122.7060213
171830071,2017-07-02,38.43294769,-122.7445656
171830072,2017-07-02,38.4590067,-122.6704272
171830073,2017-07-02,38.43324786,-122.6835374
171830075,2017-07-02,38.46505778,-122.71938200000001
171830076,2017-07-02,38.45052182,-122.7107115
171830077,2017-07-02,38.41103032,-122.76885929999999
171830078,2017-07-02,38.43507093,-122.70536129999999
171830079,2017-07-02,38.44114633,-122.71012549999999
171830080,2017-07-02,38.42228018,-122.7094669
171830081,2017-07-02,38.42237512,-122.76892649999999
171830083,2017-07-02,38.4565141,-122.7411455
171830084,2017-07-02,38.45373537,-122.70223259999999
171830086,2017-07-02,38.47452327,-122.75214950000002
171830088,2017-07-02,38.48534749,-122.6678493
171830089,2017-07-02,38.43286531,-122.68910249999999
171830090,2017-07-02,38.47971181,-122.73813090000002
171830092,2017-07-02,38.45373537,-122.70223259999999
171830094,2017-07-02,38.45863202,-122.6693578
171830095,2017-07-02,38.44521662,-122.7444692
171830096,2017-07-02,38.43520974,-122.7227953
171830097,2017-07-02,38.43216613,-122.6833825
171830098,2017-07-02,38.43294769,-122.7445656
171830099,2017-07-02,38.45998198,-122.7373249
171830100,2017-07-02,38.41030288,-122.7094955
