,city,Street,ZIP,LAT,LON
234141,SANTA ROSA,MILICENT WAY & SANTA ROSA AVE,95407.0,38.42030020000001,-122.71351090000002
234142,SANTA ROSA,COFFEY LN & PINER RD,95403.0,38.46873386,-122.74485390000001
234143,SANTA ROSA,CRESTVIEW CT & CRESTVIEW DR,95403.0,38.48115821,-122.7456335
234144,SANTA ROSA,DOGWOOD DR & HEMLOCK ST,95403.0,38.47803811,-122.74489390000001
234145,SANTA ROSA,DEVONSHIRE PL & STONEHEDGE DR,95405.0,38.44230838,-122.65829280000001
234146,SANTA ROSA,EASTWOOD DR & NORTHWOOD DR & WOODSIDE DR,95404.0,38.46471161,-122.70362879999999
234147,SANTA ROSA,PARKER HILL RD & SLEEPY HOLLOW DR,95404.0,38.47706579,-122.7035804
234148,SANTA ROSA,RIDGWAY AVE & RIPLEY ST,95401.0,38.44910098,-122.72447549999998
234149,SANTA ROSA,HWY 12 & PYTHIAN RD,95409.0,38.43547415,-122.57820079999999
234150,SANTA ROSA,RANGE AVE & RUSSELL AVE,95403.0,38.46912427,-122.7326346
234151,SANTA ROSA,SHERIDAN DR & SPRING CREEK DR,95405.0,38.44191382,-122.69020959999999
234152,SANTA ROSA,GATE WAY & W 3RD ST,95401.0,38.43397971,-122.74611159999999
234153,LARKFIELD,MARK WEST SPRINGS RD & OLD REDWOOD HWY,95403.0,38.49714649,-122.7480692
234154,SANTA ROSA,CLEMENT AVE & MENDOCINO AVE,95401.0,38.45909335,-122.71717520000001
234155,SANTA ROSA,BRUSH CREEK RD & FOUNTAINGROVE PKWY & MONTECITO BLVD,95404.0,38.47113507,-122.6802215
234156,SANTA ROSA,BICENTENNIAL WAY & MENDOCINO AVE,95403.0,38.47037713,-122.7229361
234157,SANTA ROSA,GUERNEVILLE RD & WEST OAK CIR,95401.0,38.45255091,-122.77187240000002
234158,SANTA ROSA,EDWARDS AVE & RACCOON LN,95401.0,38.455409499999995,-122.72817260000001
234159,SANTA ROSA,PARKER HILL RD & SLEEPY HOLLOW DR,95404.0,38.47706579,-122.7035804
234160,SANTA ROSA,PATIO CT & VILLAGE CT,95405.0,38.44219738,-122.6853675
234161,SANTA ROSA,JENNA PL & MOCHA LN,95403.0,38.47756248,-122.74886550000001
234162,SANTA ROSA,HWY 12 & MELITA RD,95409.0,38.45594683,-122.62796540000001
234163,SANTA ROSA,BELVEDERE WAY & CHANATE RD & HUMBOLDT ST,95404.0,38.46550281,-122.71448899999999
234164,SANTA ROSA,PINERCREST DR & ZURLO WAY,95403.0,38.46599881,-122.7655743
234165,SANTA ROSA,CANARY PL & TOWHEE DR,95403.0,38.47208053,-122.7472774
234166,SANTA ROSA,TRACKS & W STEELE LN,95403.0,38.45997829,-122.7406116
234167,SANTA ROSA,PARAMONT ST & SAHARA ST,95403.0,38.47344083,-122.7271309
234168,SANTA ROSA,ARROYO SIERRA CIR & ARROYO SIERRA CT,95405.0,38.44063014,-122.66561899999999
234169,SANTA ROSA,CHANATE RD & PARKER HILL RD,95404.0,38.47141592,-122.70328640000001
234170,SANTA ROSA,ALKIRST CT & ALTURIA HTS,95403.0,38.47592119,-122.7145203
234171,SANTA ROSA,GATE WAY & W 3RD ST,95401.0,38.43397971,-122.74611159999999
234172,SANTA ROSA,VALLEY GREEN & WHITE OAK DR,95409.0,38.44231501,-122.60142479999999
234173,SANTA ROSA,ARBOLEDA DR & CHARRO CT & CHARRO DR,95401.0,38.43670375,-122.7558315
234174,SANTA ROSA,ANGELUS ST & FLAMINGO RD,95403.0,38.4738015,-122.73036770000002
234175,SANTA ROSA,MAHER DR & YULUPA AVE,95405.0,38.42519709,-122.6657795
234176,SANTA ROSA,LAKEPOINTE CIR & THOMAS LAKE HARRIS DR,95403.0,38.49035487,-122.71824720000001
234177,SANTA ROSA,BICENTENNIAL WAY & MENDOCINO AVE,95403.0,38.47037713,-122.7229361
234178,SANTA ROSA,KASHMIR DR & MONTGOMERY DR,95409.0,38.45863202,-122.6693578
234179,SANTA ROSA,AARON DR & SLEEPY HOLLOW DR,95404.0,38.47722967,-122.701944
234180,SANTA ROSA,FOUNTAINGROVE PKWY & ROUND BARN BLVD,95403.0,38.47543764,-122.7261473
234181,SANTA ROSA,ALKIRST CT & ALTURIA HTS,95403.0,38.47592119,-122.7145203
234182,SANTA ROSA,BENNETT VALLEY RD & RONNE DR,95404.0,38.43150375,-122.68053020000002
234183,SANTA ROSA,GREENFIELD CIR & OAKMONT DR,95409.0,38.43470029,-122.5964571
234184,SANTA ROSA,DEER TRAIL RD & WALLACE RD,95404.0,38.48525164,-122.6770979
234185,SANTA ROSA,OAK TRAIL DR & OAK TRAIL PL,95409.0,38.43117678,-122.5748361
234186,SANTA ROSA,COFFEY LN & SAN MIGUEL RD,95403.0,38.47452626,-122.747033
234187,SANTA ROSA,SAINT ANDREWS DR & SKYFARM DR,95403.0,38.50259291,-122.7223658
